Hours since 1 January 2017 00:00,Measured grid demand (MW)
0,6728.99
0.5,6462.14
1,6352.82
1.5,6261.02
2,6169.66
2.5,6149.87
3,6038.86
3.5,5960.09
4,5894.37
4.5,5874.75
5,5834.9
5.5,5829.53
6,5772.74
6.5,5847.59
7,5929.49
7.5,6053.55
8,6133.53
8.5,6264.87
9,6485.89
9.5,6610.2
10,6769.76
10.5,6917.15
11,6992.67
11.5,7047.07
12,7179.8
12.5,7280.93
13,7329.27
13.5,7440.06
14,7530.07
14.5,7619.91
15,7680.57
15.5,7801.23
16,7897.56
16.5,7841
17,7996.54
17.5,8042.19
18,7933.6
18.5,7903.67
19,7975.06
19.5,8030.82
20,7981.29
20.5,7883.46
21,7686.81
21.5,7568.41
22,7343.85
22.5,7154.45
23,7065.76
23.5,6763.58
24,6445.77
24.5,6288.1
25,6202.45
25.5,6065.56
26,6003.66
26.5,5964.93
27,5897.79
27.5,5926.37
28,5876.01
28.5,5872.42
29,5872.56
29.5,5888.78
30,5908.44
30.5,6000.31
31,6149.23
31.5,6395.52
32,6478.34
32.5,6648.5
33,6793.66
33.5,6931.63
34,7011.82
34.5,7069.76
35,7141.99
35.5,7172.5
36,7219.85
36.5,7269.54
37,7435.86
37.5,7548.58
38,7599.77
38.5,7668.74
39,7748.38
39.5,7863.34
40,7869.93
40.5,7820.69
41,7835.54
41.5,7874.9
42,7830.29
42.5,7810.33
43,7890.34
43.5,7867.81
44,7766.2
44.5,7609.07
45,7304.34
45.5,7109.64
46,6890.27
46.5,6708.98
47,6591.66
47.5,6366.94
48,6073.9
48.5,5888.17
49,5824.99
49.5,5698.85
50,5662.02
50.5,5599.27
51,5627.49
51.5,5612.3
52,5598.69
52.5,5614.58
53,5675.26
53.5,5732.78
54,5846.91
54.5,6094.57
55,6314.99
55.5,6562.82
56,6743.85
56.5,6931.57
57,7037.8
57.5,7076.91
58,7061.61
58.5,7112.46
59,7124.97
59.5,7109.22
60,7121.3
60.5,7063.1
61,7072.95
61.5,7130.51
62,7136.39
62.5,7160.06
63,7184.91
63.5,7228.22
64,7234.38
64.5,7247.32
65,7306.92
65.5,7312.98
66,7266.08
66.5,7226.62
67,7241.81
67.5,7211.74
68,7159.51
68.5,7071.82
69,6868.54
69.5,6775.93
70,6583.73
70.5,6454.14
71,6415.04
71.5,6248.68
72,5949.86
72.5,5788.91
73,5657.84
73.5,5521.94
74,5466.87
74.5,5438.35
75,5432.72
75.5,5437.85
76,5413.75
76.5,5445.78
77,5504.87
77.5,5603.24
78,5682.2
78.5,5910.04
79,6141.32
79.5,6409.15
80,6457.94
80.5,6614.01
81,6691.81
81.5,6698.42
82,6685.46
82.5,6702.98
83,6730.15
83.5,6711.98
84,6689.53
84.5,6708.02
85,6706.77
85.5,6811.26
86,6925.98
86.5,6985.7
87,7048.56
87.5,7150.84
88,7184.67
88.5,7287.11
89,7403.62
89.5,7396.58
90,7322.05
90.5,7289.36
91,7350.94
91.5,7409.95
92,7367.84
92.5,7284.75
93,7082.34
93.5,6902.54
94,6709.23
94.5,6612.44
95,6508.59
95.5,6236.58
96,5985.32
96.5,5833.17
97,5731.34
97.5,5592.06
98,5514.45
98.5,5499.78
99,5501.75
99.5,5469.73
100,5494.14
100.5,5534.42
101,5519.14
101.5,5584.07
102,5661
102.5,5901.1
103,6097.21
103.5,6373.09
104,6455.69
104.5,6618.79
105,6665.55
105.5,6757.81
106,6751.22
106.5,6834.42
107,6862.77
107.5,6912.14
108,6925.46
108.5,6936.58
109,7046.03
109.5,7018.84
110,7034.97
110.5,7121.37
111,7172.08
111.5,7204.49
112,7275.23
112.5,7302.55
113,7411.48
113.5,7428.84
114,7404.42
114.5,7432.16
115,7525.34
115.5,7568.24
116,7531.4
116.5,7354.18
117,7153.32
117.5,6980.78
118,6763.17
118.5,6544.37
119,6471.15
119.5,6284.92
120,6000.38
120.5,5873.48
121,5779.81
121.5,5647
122,5578.36
122.5,5566.17
123,5534.35
123.5,5511.42
124,5497.48
124.5,5524.42
125,5575.78
125.5,5607.92
126,5709.17
126.5,5946.21
127,6145.88
127.5,6407.73
128,6529.69
128.5,6698.2
129,6822.7
129.5,6843.96
130,6840.32
130.5,6866.15
131,6865.52
131.5,6848.52
132,6911.97
132.5,6891.09
133,6923.22
133.5,7011.67
134,7054.69
134.5,7003.3
135,7117.32
135.5,7183.02
136,7204.83
136.5,7310.72
137,7364.24
137.5,7370.63
138,7271.64
138.5,7236.5
139,7351.01
139.5,7380.64
140,7363.94
140.5,7247.7
141,7035.17
141.5,6928.06
142,6763.18
142.5,6589.06
143,6573.94
143.5,6385.63
144,6048.72
144.5,5913.18
145,5820.97
145.5,5696.19
146,5596.41
146.5,5591.64
147,5533.13
147.5,5543.64
148,5481.99
148.5,5510.53
149,5517.28
149.5,5535.53
150,5520.72
150.5,5595.45
151,5733.31
151.5,5924.53
152,6014.5
152.5,6118.39
153,6159.01
153.5,6165.2
154,6175.57
154.5,6147.61
155,6156.43
155.5,6129.69
156,6189.67
156.5,6159.96
157,6126.47
157.5,6129.24
158,6130.48
158.5,6138.74
159,6200.03
159.5,6277.91
160,6382.3
160.5,6545.24
161,6703.13
161.5,6806.43
162,6820.88
162.5,6847.17
163,6897.5
163.5,6992.15
164,7005.94
164.5,6931.51
165,6729.6
165.5,6652.31
166,6514.81
166.5,6380.47
167,6316.17
167.5,6151
168,5873.5
168.5,5681.18
169,5623.7
169.5,5455.09
170,5389.01
170.5,5331.81
171,5303.83
171.5,5277.08
172,5287.85
172.5,5265
173,5254.92
173.5,5266.54
174,5263.22
174.5,5312.63
175,5349.3
175.5,5443.82
176,5521.19
176.5,5609.44
177,5736.81
177.5,5739.63
178,5782.31
178.5,5803.62
179,5797.51
179.5,5798.86
180,5870.32
180.5,5872.89
181,5934.82
181.5,6000.67
182,6022.32
182.5,6079.41
183,6164.77
183.5,6301.5
184,6412.16
184.5,6532.05
185,6628.04
185.5,6760.61
186,6785.03
186.5,6898.89
187,7036.71
187.5,7044.23
188,7045.69
188.5,6994.42
189,6761.49
189.5,6648.48
190,6436.16
190.5,6305.87
191,6243.6
191.5,6066.06
192,5802.22
192.5,5629.38
193,5528.56
193.5,5426.78
194,5364.38
194.5,5306.38
195,5318.09
195.5,5324
196,5309.28
196.5,5343.33
197,5399.09
197.5,5553.86
198,5654.42
198.5,5898.79
199,6135.08
199.5,6412.63
200,6510.69
200.5,6649.75
201,6746.84
201.5,6813.77
202,6829
202.5,6863.86
203,6922.14
203.5,6950.2
204,7015.7
204.5,7071.13
205,7147.88
205.5,7191.76
206,7344.76
206.5,7409.5
207,7454.22
207.5,7570.22
208,7667.98
208.5,7757.64
209,7878.23
209.5,7898
210,7834
210.5,7741
211,7824.76
211.5,7877.22
212,7837.85
212.5,7722.72
213,7472.17
213.5,7271.61
214,6999.41
214.5,6819.5
215,6690.62
215.5,6450.91
216,6143.75
216.5,6004.25
217,5908.09
217.5,5748.49
218,5664.4
218.5,5629.14
219,5598.13
219.5,5583.19
220,5542.63
220.5,5598.51
221,5656.79
221.5,5758.81
222,5913.36
222.5,6213.8
223,6477.8
223.5,6707.52
224,6881.04
224.5,7064.22
225,7139.18
225.5,7149.51
226,7207.15
226.5,7194.3
227,7235.08
227.5,7299.61
228,7376.08
228.5,7419.48
229,7515.48
229.5,7592.72
230,7693.56
230.5,7731.37
231,7864.28
231.5,7945.56
232,8044.73
232.5,8182.99
233,8345.61
233.5,8340.74
234,8205.32
234.5,8133.55
235,8185.66
235.5,8186.52
236,8139.04
236.5,7970.85
237,7720.62
237.5,7528.71
238,7252.9
238.5,6959.55
239,6837.89
239.5,6593.12
240,6259.93
240.5,6084.39
241,5975.36
241.5,5862.04
242,5775.49
242.5,5771.87
243,5738.15
243.5,5701.39
244,5681.08
244.5,5760.4
245,5769.58
245.5,5849.2
246,5980.01
246.5,6267.21
247,6581.59
247.5,6897.64
248,7004.14
248.5,7173.36
249,7327.89
249.5,7416.2
250,7480.96
250.5,7538.03
251,7562.02
251.5,7557.4
252,7677.77
252.5,7716.92
253,7849.53
253.5,7949.77
254,8179.93
254.5,8286.28
255,8318.8
255.5,8458.82
256,8588.36
256.5,8570.72
257,8647.01
257.5,8738.9
258,8629.13
258.5,8461.89
259,8546.57
259.5,8523.63
260,8433.36
260.5,8240.8
261,7999.6
261.5,7784.42
262,7527.29
262.5,7215.65
263,6876.26
263.5,6726.17
264,6433.03
264.5,6287.55
265,6202.79
265.5,6069.81
266,6002.61
266.5,5955.32
267,5923.09
267.5,5896.66
268,5882.3
268.5,5907.99
269,5916.18
269.5,6036.53
270,6146.91
270.5,6437.39
271,6749.96
271.5,7075.59
272,7265.28
272.5,7484.11
273,7632.25
273.5,7680.61
274,7830.49
274.5,7880.87
275,7944.79
275.5,8069.02
276,8134.51
276.5,8273.33
277,8225.73
277.5,8449.68
278,8660.3
278.5,8700.52
279,8827.19
279.5,8912.59
280,8933.12
280.5,8920.6
281,8905.77
281.5,8916.16
282,8742.26
282.5,8588.24
283,8704.01
283.5,8813.68
284,8748.88
284.5,8670.74
285,8411.8
285.5,8158.37
286,7778.68
286.5,7349.35
287,7175.57
287.5,7015.23
288,6702.47
288.5,6552.93
289,6451.44
289.5,6337.62
290,6254.61
290.5,6207.11
291,6184.27
291.5,6146.27
292,6146.01
292.5,6148.61
293,6187.25
293.5,6282.55
294,6422.89
294.5,6725.16
295,6798.97
295.5,7272.28
296,7572.47
296.5,7773.9
297,7896.72
297.5,7999.98
298,8071.02
298.5,8114.72
299,8188.79
299.5,8263.13
300,8315.55
300.5,8403.72
301,8504.79
301.5,8599.58
302,8622.02
302.5,8610.8
303,8655.62
303.5,8809.04
304,8961.54
304.5,8942.84
305,9040.05
305.5,8997.67
306,8915.76
306.5,8842.77
307,8698.99
307.5,8673.21
308,8672.79
308.5,8494.43
309,8297.24
309.5,8202.25
310,7924.99
310.5,7546.18
311,7266.39
311.5,7010.27
312,6730.6
312.5,6597.18
313,6381.96
313.5,6301.17
314,6273.18
314.5,6252.85
315,6200.47
315.5,6122.43
316,6078.5
316.5,6098.25
317,6069.67
317.5,6085.19
318,6132.77
318.5,6320.21
319,6234.13
319.5,6532.27
320,6773.83
320.5,7027.57
321,7315.78
321.5,7494.88
322,7547.82
322.5,7589.51
323,7666.61
323.5,7788.38
324,7944.31
324.5,8009.51
325,7954.79
325.5,8105.11
326,8112.96
326.5,8140.27
327,8291.12
327.5,8359.59
328,8473.26
328.5,8558.71
329,8587.6
329.5,8664.23
330,8546.68
330.5,8467.92
331,8470.08
331.5,8542.07
332,8535.05
332.5,8467.57
333,8257.43
333.5,8192.45
334,7879.83
334.5,7555.98
335,7437.6
335.5,7105.49
